Period,Longitude,Latitude,Abundance
1999-2010,-102.9,1.266,0.016
1999-2010,-96.583,2.9,0.013
1999-2010,-87,4.083,0.019
1999-2010,-88.683,1.466,0
1999-2010,-87.033,1.45,0.006
1999-2010,-118.1644,32.5597,0.009
1999-2010,-119.1433,32.4783,0.123
1999-2010,-119.9918,32.4016,0.035
1999-2010,-119.9639,32.4243,0.042
1999-2010,-119.9844,32.422,0.115
1999-2010,-119.9682,32.4016,0.035
1999-2010,-119.938,32.4061,0.022
1999-2010,-119.961,32.4129,0.097
1999-2010,-119.9804,32.4112,0
1999-2010,-120.0601,32.4279,0.036
1999-2010,-121.2014,32.3786,0.061
1999-2010,-122.3124,32.3607,0
1999-2010,-123.3533,32.3457,0.022
1999-2010,-124.3471,32.328,0.165
1999-2010,-125.2308,32.3087,0.074
1999-2010,-126.2803,32.2885,0.095
1999-2010,-127.3653,32.2584,0.159
1999-2010,-128.3595,32.2454,0.27
1999-2010,-129.1759,32.2225,0.106
1999-2010,-130.245,32.2103,1.203
1999-2010,-131.4177,32.1763,0.165
1999-2010,-132.3321,32.1733,0.837
1999-2010,-133.1823,32.1439,0.209
1999-2010,-134.2315,32.1206,19.953
1999-2010,-135.4803,32.1014,3.907
1999-2010,-136.3499,32.0809,1.137
1999-2010,-137.2199,32.0683,0.349
1999-2010,-137.7057,32.0517,3.381
1999-2010,-137.9278,32.0429,2.405
1999-2010,-137.9334,32.039,2.311
1999-2010,-137.9246,32.0494,1.201
1999-2010,-137.9218,32.0564,0.767
1999-2010,-137.9166,32.0508,2.317
1999-2010,-137.91,32.0565,2.611
1999-2010,-137.9188,32.0578,1.303
1999-2010,-137.9139,32.0641,2.512
1999-2010,-138.5077,32.0291,3.602
1999-2010,-138.9792,32.0242,2.497
1999-2010,-139.4603,32.0189,2.015
1999-2010,-139.9165,32.0309,0.945
1999-2010,-140.202,32.0423,0.798
1999-2010,-140.3044,32.3488,3.58
1999-2010,-140.2948,32.3527,4.2
1999-2010,-140.3102,32.6319,1.537
1999-2010,-140.3256,32.8981,16.44
1999-2010,-140.2931,32.9051,5.039
1999-2010,-140.307,32.9081,3.261
1999-2010,-140.2976,32.8994,1.314
1999-2010,-140.3057,32.8909,7.253
1999-2010,-140.3124,32.8951,4.504
1999-2010,-140.3454,32.9298,32.765
1999-2010,-140.3424,32.9259,16.903
1999-2010,-139.7643,33.6269,1.452
1999-2010,-139.7718,33.7281,14.28
1999-2010,-139.8239,34.097,27.052
1999-2010,-139.8543,34.3854,11.313
1999-2010,-139.8794,34.8136,7.717
1999-2010,-139.9236,35.2285,8.649
1999-2010,-139.9762,35.6168,12.913
1999-2010,-139.9999,35.7164,8.15
1999-2010,-139.9833,35.8035,2.928
1999-2010,-139.9825,35.8934,5.167
1999-2010,-139.9826,35.9849,1.894
