"PDT","Hs","Tp","Dp"
"2020-06-28 00:00:00","1.53","7.14",289
"2020-06-28 00:30:00","1.52","9.09",284
"2020-06-28 01:00:00","1.59","7.69",286
"2020-06-28 01:30:00","1.75","8.00",286
"2020-06-28 02:00:00","1.70","7.69",287
"2020-06-28 02:30:00","1.83","9.09",286
"2020-06-28 03:00:00","1.96","8.00",289
"2020-06-28 03:30:00","1.91","9.52",286
"2020-06-28 04:00:00","2.13","7.69",290
"2020-06-28 04:30:00","2.23","7.41",291
"2020-06-28 05:00:00","2.29","9.52",284
"2020-06-28 05:30:00","2.15","7.41",291
"2020-06-28 06:00:00","2.08","9.09",289
"2020-06-28 06:30:00","2.17","8.70",288
"2020-06-28 07:00:00","2.02","8.33",292
"2020-06-28 07:30:00","2.14","6.90",285
"2020-06-28 08:00:00","2.20","6.90",287
"2020-06-28 08:30:00","2.16","9.52",288
"2020-06-28 09:00:00","2.18","8.00",287
"2020-06-28 09:30:00","2.27","8.33",289
"2020-06-28 10:00:00","2.29","9.52",287
"2020-06-28 10:30:00","2.33","9.52",287
"2020-06-28 11:00:00","2.33","9.52",286
"2020-06-28 11:30:00","2.36","9.52",286
"2020-06-28 12:00:00","2.25","9.52",290
"2020-06-28 12:30:00","2.22","10.00",287
"2020-06-28 13:00:00","2.26","7.69",288
"2020-06-28 13:30:00","2.22","8.70",290
"2020-06-28 14:00:00","2.19","6.67",297
"2020-06-28 14:30:00","2.33","9.09",290
"2020-06-28 15:00:00","2.40","9.09",288
"2020-06-28 15:30:00","2.46","7.14",292
"2020-06-28 16:00:00","2.49","7.41",284
"2020-06-28 16:30:00","2.33","6.25",299
"2020-06-28 17:00:00","2.24","9.52",288
"2020-06-28 17:30:00","2.43","10.00",287
"2020-06-28 18:00:00","2.44","8.00",288
"2020-06-28 18:30:00","2.54","9.52",290
"2020-06-28 19:00:00","2.57","10.00",288
"2020-06-28 19:30:00","2.36","8.70",289
"2020-06-28 20:00:00","2.22","8.70",293
