"PDT","Hs","Tp","Dp"
"2020-06-28 00:00:00","1.55","9.88",306
"2020-06-28 00:30:00","1.55","7.69",309
"2020-06-28 01:30:00","1.61","10.53",314
"2020-06-28 02:00:00","1.52","9.88",312
"2020-06-28 02:30:00","1.59","10.53",314
"2020-06-28 03:00:00","1.62","9.88",328
"2020-06-28 03:30:00","1.70","9.88",317
"2020-06-28 04:00:00","1.67","9.88",312
"2020-06-28 04:30:00","1.67","9.88",314
"2020-06-28 05:00:00","1.83","9.88",313
"2020-06-28 05:30:00","1.81","9.09",321
"2020-06-28 06:00:00","1.95","10.53",314
"2020-06-28 06:30:00","2.02","10.53",312
"2020-06-28 07:00:00","2.21","10.53",327
"2020-06-28 07:30:00","2.35","9.88",316
"2020-06-28 08:00:00","2.14","9.88",316
"2020-06-28 08:30:00","2.27","10.53",328
"2020-06-28 09:00:00","2.59","10.53",321
"2020-06-28 09:30:00","2.49","10.53",323
"2020-06-28 10:00:00","2.61","11.11",324
"2020-06-28 10:30:00","2.67","10.53",321
"2020-06-28 11:00:00","2.61","10.53",324
"2020-06-28 11:30:00","2.62","10.53",319
"2020-06-28 12:00:00","2.51","10.53",328
"2020-06-28 12:30:00","2.61","11.11",321
"2020-06-28 13:00:00","2.55","10.53",317
"2020-06-28 13:30:00","2.51","11.11",321
"2020-06-28 14:00:00","2.62","11.11",323
"2020-06-28 14:30:00","2.64","11.76",317
"2020-06-28 15:00:00","2.48","10.53",323
"2020-06-28 15:30:00","2.54","11.11",317
"2020-06-28 16:00:00","2.53","11.76",313
"2020-06-28 16:30:00","2.71","9.88",317
"2020-06-28 17:00:00","2.71","10.53",319
"2020-06-28 17:30:00","2.57","10.53",317
"2020-06-28 18:00:00","2.56","10.53",324
"2020-06-28 18:30:00","2.61","10.53",321
"2020-06-28 19:00:00","2.66","11.11",321
"2020-06-28 19:30:00","2.80","10.53",317
"2020-06-28 20:00:00","2.97","11.11",321
"2020-06-28 20:30:00","2.90","9.88",319
"2020-06-28 21:00:00","2.81","9.88",326
"2020-06-28 21:30:00","2.86","9.88",317
"2020-06-28 22:00:00","2.96","9.88",321
"2020-06-28 22:30:00","3.08","11.11",319
"2020-06-28 23:00:00","2.86","10.53",317
"2020-06-28 23:30:00","2.86","11.11",323
"2020-06-29 00:00:00","3.30","9.88",320
"2020-06-29 00:30:00","3.04","9.88",320
"2020-06-29 01:00:00","3.14","9.88",320
"2020-06-29 01:30:00","2.98","9.88",321
"2020-06-29 02:00:00","3.20","10.53",317
"2020-06-29 02:30:00","2.92","9.88",317
"2020-06-29 03:00:00","3.12","10.53",317
"2020-06-29 03:30:00","3.09","9.88",314
"2020-06-29 04:00:00","3.14","9.88",320
"2020-06-29 04:30:00","3.21","10.53",323
"2020-06-29 05:00:00","3.06","9.88",321
"2020-06-29 05:30:00","3.24","10.53",320
"2020-06-29 06:00:00","3.20","11.11",324
"2020-06-29 06:30:00","2.90","9.88",323
"2020-06-29 07:00:00","3.10","11.11",323
"2020-06-29 07:30:00","3.00","11.11",323
"2020-06-29 08:00:00","3.13","11.11",317
"2020-06-29 08:30:00","2.89","10.53",324
"2020-06-29 09:00:00","2.72","11.11",320
"2020-06-29 09:30:00","3.05","11.11",316
"2020-06-29 10:00:00","3.14","11.76",317
"2020-06-29 10:30:00","2.90","10.53",317
"2020-06-29 11:00:00","3.16","11.11",330
"2020-06-29 11:30:00","2.99","10.53",326
"2020-06-29 12:00:00","3.05","10.53",323
"2020-06-29 12:30:00","2.85","11.76",310
"2020-06-29 13:00:00","2.76","10.53",324
"2020-06-29 13:30:00","2.75","10.53",324
"2020-06-29 14:00:00","2.91","11.11",312
"2020-06-29 14:30:00","2.95","11.11",321
"2020-06-29 15:00:00","2.75","11.11",314
"2020-06-29 15:30:00","2.62","11.11",316
"2020-06-29 16:00:00","2.94","11.11",319
"2020-06-29 16:30:00","2.94","11.11",313
"2020-06-29 17:00:00","2.71","11.11",317
"2020-06-29 17:30:00","2.78","11.11",330
"2020-06-29 18:00:00","2.70","9.88",326
"2020-06-29 18:30:00","2.53","9.88",327
"2020-06-29 19:00:00","2.79","10.53",319
"2020-06-29 19:30:00","2.58","10.53",317
"2020-06-29 20:00:00","2.82","9.88",321
"2020-06-29 20:30:00","2.86","9.88",324
"2020-06-29 21:00:00","2.78","10.53",317
"2020-06-29 21:30:00","2.65","10.53",319
"2020-06-29 22:00:00","2.37","10.53",326
"2020-06-29 22:30:00","2.21","10.53",321
"2020-06-29 23:00:00","2.69","10.53",312
"2020-06-29 23:30:00","2.68","9.88",317
"2020-06-30 00:00:00","2.34","10.53",316
"2020-06-30 00:30:00","2.52","9.88",316
"2020-06-30 01:00:00","2.45","10.53",313
"2020-06-30 01:30:00","2.57","9.88",309
"2020-06-30 02:00:00","2.40","10.53",306
"2020-06-30 02:30:00","2.47","10.53",305
"2020-06-30 03:00:00","2.41","9.88",313
"2020-06-30 03:30:00","2.33","10.53",313
"2020-06-30 04:00:00","2.35","9.88",317
"2020-06-30 04:30:00","2.09","9.88",317
"2020-06-30 05:00:00","2.47","10.53",317
"2020-06-30 05:30:00","2.15","10.53",324
"2020-06-30 06:00:00","2.17","10.53",319
"2020-06-30 06:30:00","2.27","9.88",323
"2020-06-30 07:00:00","2.41","11.11",320
"2020-06-30 07:30:00","2.50","10.53",319
"2020-06-30 08:00:00","2.32","9.88",319
"2020-06-30 08:30:00","2.36","9.88",327
"2020-06-30 09:00:00","2.36","9.88",313
"2020-06-30 09:30:00","2.61","9.88",319
"2020-06-30 10:00:00","2.45","9.88",324
"2020-06-30 10:30:00","2.49","9.88",319
"2020-06-30 11:00:00","2.55","10.53",320
"2020-06-30 11:30:00","2.24","10.53",330
"2020-06-30 12:00:00","2.42","10.53",319
"2020-06-30 12:30:00","2.43","9.09",324
"2020-06-30 13:00:00","2.50","9.88",320
"2020-06-30 13:30:00","2.19","9.88",317
"2020-06-30 14:00:00","2.39","9.88",319
"2020-06-30 14:30:00","2.16","9.88",323
"2020-06-30 15:00:00","2.39","9.09",326
"2020-06-30 15:30:00","2.23","18.18",192
"2020-06-30 16:00:00","2.28","9.88",312
"2020-06-30 16:30:00","2.14","9.88",337
"2020-06-30 17:00:00","2.30","10.53",323
"2020-06-30 17:30:00","2.21","9.09",320
"2020-06-30 18:00:00","2.09","9.88",326
"2020-06-30 18:30:00","2.03","9.09",319
"2020-06-30 19:00:00","2.26","9.88",323
"2020-06-30 19:30:00","2.28","9.88",323
"2020-06-30 20:00:00","2.39","9.88",310
"2020-06-30 20:30:00","2.52","9.88",317
"2020-06-30 21:00:00","2.50","9.09",319
"2020-06-30 21:30:00","2.36","10.53",319
"2020-06-30 22:00:00","2.48","9.09",316
"2020-06-30 22:30:00","2.42","9.09",319
"2020-06-30 23:00:00","2.38","16.67",196
"2020-06-30 23:30:00","2.39","9.88",316
"2020-07-01 00:00:00","2.32","9.09",317
"2020-07-01 00:30:00","2.43","9.09",314
"2020-07-01 01:00:00","2.47","9.09",324
"2020-07-01 01:30:00","2.43","9.09",317
"2020-07-01 02:00:00","2.50","9.09",317
"2020-07-01 02:30:00","2.62","9.09",320
"2020-07-01 03:00:00","2.69","9.88",320
"2020-07-01 03:30:00","2.54","9.09",320
"2020-07-01 04:00:00","2.61","9.09",319
"2020-07-01 04:30:00","2.45","9.09",323
"2020-07-01 05:00:00","2.52","9.88",324
"2020-07-01 05:30:00","2.47","9.09",323
"2020-07-01 06:00:00","2.59","9.88",319
"2020-07-01 06:30:00","2.79","9.09",321
"2020-07-01 07:00:00","2.51","9.88",323
"2020-07-01 07:30:00","2.56","9.09",324
"2020-07-01 08:00:00","2.72","9.88",317
"2020-07-01 08:30:00","2.66","9.09",323
"2020-07-01 09:00:00","2.65","9.09",323
"2020-07-01 09:30:00","2.54","9.88",328
"2020-07-01 10:00:00","2.70","9.88",317
"2020-07-01 10:30:00","2.63","10.53",323
"2020-07-01 11:00:00","2.81","9.88",330
"2020-07-01 11:30:00","2.58","9.88",324
"2020-07-01 12:00:00","2.83","10.53",324
"2020-07-01 12:30:00","2.57","9.88",331
"2020-07-01 13:00:00","2.78","9.88",330
"2020-07-01 13:30:00","2.74","9.88",330
"2020-07-01 14:00:00","2.66","9.88",328
"2020-07-01 14:30:00","2.77","9.88",316
"2020-07-01 15:00:00","2.85","10.53",321
"2020-07-01 15:30:00","2.60","10.53",323
"2020-07-01 16:00:00","2.71","9.88",328
"2020-07-01 16:30:00","2.72","9.88",319
"2020-07-01 17:00:00","2.62","10.53",326
"2020-07-01 17:30:00","2.80","9.88",321
"2020-07-01 18:00:00","2.57","9.88",320
"2020-07-01 18:30:00","2.59","10.53",321
"2020-07-01 19:00:00","2.48","9.88",327
"2020-07-01 19:30:00","2.44","9.09",323
"2020-07-01 20:00:00","2.20","9.88",326
"2020-07-01 20:30:00","2.19","9.88",326
"2020-07-01 21:00:00","2.19","9.88",328
"2020-07-01 21:30:00","2.42","10.53",319
"2020-07-01 22:00:00","2.05","9.09",321
"2020-07-01 22:30:00","2.13","10.53",324
"2020-07-01 23:00:00","2.09","16.67",191
"2020-07-02 00:00:00","2.17","11.11",327
"2020-07-02 00:30:00","2.12","9.88",326
"2020-07-02 01:00:00","2.21","10.53",320
"2020-07-02 01:30:00","2.20","9.88",319
"2020-07-02 02:00:00","2.30","10.53",327
"2020-07-02 02:30:00","2.28","9.88",324
"2020-07-02 03:00:00","2.44","9.88",319
