"PDT","Hs","Tp","Dp"
"2020-06-28 00:00:00","0.94","9.88",342
"2020-06-28 00:30:00","0.98","9.88",335
"2020-06-28 01:00:00","1.03","9.88",336
"2020-06-28 01:30:00","0.91","9.88",338
"2020-06-28 02:00:00","1.00","9.88",339
"2020-06-28 02:30:00","1.10","11.11",345
"2020-06-28 03:00:00","1.22","9.88",339
"2020-06-28 03:30:00","1.08","9.88",339
"2020-06-28 04:00:00","0.96","9.09",336
"2020-06-28 04:30:00","1.13","9.88",341
"2020-06-28 05:00:00","1.14","9.88",336
"2020-06-28 05:30:00","1.26","9.09",336
"2020-06-28 06:00:00","1.31","10.53",342
"2020-06-28 06:30:00","1.28","10.53",342
"2020-06-28 07:00:00","1.37","10.53",343
"2020-06-28 07:30:00","1.46","10.53",343
"2020-06-28 08:00:00","1.52","10.53",342
"2020-06-28 08:30:00","1.51","10.53",343
"2020-06-28 09:00:00","1.60","10.53",345
"2020-06-28 09:30:00","1.68","10.53",345
"2020-06-28 10:00:00","1.88","10.53",345
"2020-06-28 10:30:00","1.78","10.53",343
"2020-06-28 11:00:00","1.61","11.11",348
"2020-06-28 11:30:00","1.93","9.88",343
"2020-06-28 12:00:00","1.75","11.11",351
"2020-06-28 12:30:00","1.34","9.88",343
"2020-06-28 13:00:00","1.66","11.11",349
"2020-06-28 13:30:00","1.66","11.76",352
"2020-06-28 14:00:00","1.62","11.11",346
"2020-06-28 14:30:00","1.59","11.11",346
"2020-06-28 15:00:00","1.65","10.53",342
"2020-06-28 15:30:00","1.66","10.53",341
"2020-06-28 16:00:00","1.95","10.53",341
"2020-06-28 16:30:00","1.54","10.53",339
"2020-06-28 17:00:00","1.70","10.53",345
"2020-06-28 17:30:00","1.67","9.88",342
"2020-06-28 18:00:00","1.54","10.53",342
"2020-06-28 18:30:00","1.58","9.88",343
"2020-06-28 19:00:00","1.55","10.53",342
"2020-06-28 19:30:00","1.41","11.11",348
"2020-06-28 20:00:00","1.66","9.88",343
"2020-06-28 20:30:00","1.55","9.88",342
"2020-06-28 21:00:00","1.54","9.88",345
"2020-06-28 21:30:00","1.56","9.09",342
"2020-06-28 22:00:00","1.52","9.88",346
"2020-06-28 22:30:00","1.66","9.88",346
"2020-06-28 23:00:00","1.59","10.53",352
"2020-06-28 23:30:00","1.59","9.88",349
"2020-06-29 00:00:00","1.54","10.53",349
"2020-06-29 01:30:00","1.80","10.53",346
"2020-06-29 02:00:00","1.79","10.53",346
"2020-06-29 02:30:00","1.58","9.88",342
"2020-06-29 03:00:00","1.59","10.53",348
"2020-06-29 03:30:00","1.69","10.53",343
"2020-06-29 04:00:00","1.67","9.88",341
"2020-06-29 04:30:00","1.65","11.11",349
"2020-06-29 05:00:00","1.78","10.53",343
"2020-06-29 05:30:00","1.88","11.11",346
"2020-06-29 06:00:00","1.96","10.53",346
"2020-06-29 06:30:00","1.92","11.11",349
"2020-06-29 07:00:00","1.81","11.11",349
"2020-06-29 07:30:00","1.99","11.11",348
"2020-06-29 08:00:00","1.93","11.11",346
"2020-06-29 08:30:00","1.75","10.53",345
"2020-06-29 09:00:00","1.92","11.11",346
"2020-06-29 09:30:00","1.90","11.11",348
"2020-06-29 10:00:00","1.63","11.11",351
"2020-06-29 10:30:00","1.86","11.11",351
"2020-06-29 11:00:00","1.82","11.11",351
"2020-06-29 11:30:00","1.86","10.53",345
"2020-06-29 12:00:00","1.66","11.76",349
"2020-06-29 12:30:00","1.74","9.88",343
"2020-06-29 13:00:00","1.84","11.11",351
"2020-06-29 13:30:00","1.66","9.88",345
"2020-06-29 14:00:00","1.70","10.53",348
"2020-06-29 14:30:00","1.64","10.53",346
"2020-06-29 15:00:00","1.46","10.53",345
"2020-06-29 15:30:00","1.47","11.11",352
"2020-06-29 16:00:00","1.67","11.11",348
"2020-06-29 16:30:00","1.38","10.53",345
"2020-06-29 17:00:00","1.56","9.88",343
"2020-06-29 17:30:00","1.79","10.53",343
"2020-06-29 18:00:00","1.63","10.53",342
"2020-06-29 18:30:00","1.48","10.53",343
"2020-06-29 19:00:00","1.75","10.53",343
"2020-06-29 19:30:00","1.48","10.53",345
"2020-06-29 20:00:00","1.61","10.53",342
"2020-06-29 20:30:00","1.56","10.53",343
"2020-06-29 21:00:00","1.46","10.53",342
"2020-06-29 22:30:00","1.38","9.88",341
"2020-06-29 23:00:00","1.29","10.53",345
"2020-06-29 23:30:00","1.51","10.53",343
"2020-06-30 00:00:00","1.31","9.88",342
"2020-06-30 00:30:00","1.45","10.53",348
"2020-06-30 01:00:00","1.28","10.53",345
"2020-06-30 01:30:00","1.38","9.88",342
"2020-06-30 02:00:00","1.18","9.88",343
"2020-06-30 02:30:00","1.07","9.88",335
"2020-06-30 03:00:00","1.28","10.53",343
"2020-06-30 03:30:00","1.18","11.11",346
"2020-06-30 04:00:00","1.21","9.88",342
"2020-06-30 04:30:00","1.15","10.53",345
"2020-06-30 05:00:00","1.25","9.88",338
"2020-06-30 05:30:00","1.21","9.88",338
"2020-06-30 06:00:00","1.17","10.53",343
"2020-06-30 06:30:00","1.28","10.53",343
"2020-06-30 07:00:00","1.39","10.53",342
"2020-06-30 07:30:00","1.31","9.88",342
"2020-06-30 08:00:00","1.34","10.53",343
"2020-06-30 08:30:00","1.24","10.53",342
"2020-06-30 09:00:00","1.16","9.88",342
"2020-06-30 09:30:00","1.21","10.53",346
"2020-06-30 10:00:00","1.32","10.53",348
"2020-06-30 10:30:00","1.28","9.88",339
"2020-06-30 11:00:00","1.32","10.53",346
"2020-06-30 11:30:00","1.14","10.53",346
"2020-06-30 12:00:00","1.19","10.53",348
"2020-06-30 12:30:00","1.25","9.88",342
"2020-06-30 13:00:00","1.05","9.88",343
"2020-06-30 13:30:00","1.10","9.88",343
"2020-06-30 14:00:00","1.05","10.53",348
"2020-06-30 14:30:00","1.00","10.53",348
"2020-06-30 15:00:00","0.90","9.88",338
"2020-06-30 15:30:00","0.86","10.53",339
"2020-06-30 16:00:00","0.92","9.88",341
"2020-06-30 16:30:00","0.98","9.88",343
"2020-06-30 17:00:00","0.97","9.88",343
"2020-06-30 17:30:00","1.02","10.53",341
"2020-06-30 18:00:00","0.95","9.88",341
"2020-06-30 18:30:00","0.99","10.53",342
"2020-06-30 19:00:00","0.95","9.88",339
"2020-06-30 19:30:00","1.06","9.88",341
"2020-06-30 20:00:00","1.07","9.88",342
"2020-06-30 20:30:00","1.08","10.53",343
"2020-06-30 21:00:00","1.25","9.09",335
"2020-06-30 21:30:00","1.25","9.88",345
"2020-06-30 22:00:00","1.24","9.09",338
"2020-06-30 22:30:00","1.26","9.09",339
"2020-06-30 23:00:00","1.24","9.09",339
"2020-06-30 23:30:00","1.25","9.88",343
"2020-07-01 00:00:00","1.12","9.09",339
"2020-07-01 00:30:00","1.26","9.09",342
"2020-07-01 01:00:00","1.22","9.09",339
"2020-07-01 01:30:00","1.18","9.88",345
"2020-07-01 02:00:00","1.14","9.09",339
"2020-07-01 02:30:00","1.06","9.09",341
"2020-07-01 03:00:00","1.19","9.09",339
"2020-07-01 03:30:00","1.18","9.09",338
"2020-07-01 04:00:00","1.16","9.09",339
"2020-07-01 04:30:00","1.16","9.09",339
"2020-07-01 05:00:00","1.20","9.09",338
"2020-07-01 05:30:00","1.28","9.88",342
"2020-07-01 06:00:00","1.20","9.09",335
"2020-07-01 06:30:00","1.25","9.09",338
"2020-07-01 07:00:00","1.23","9.88",339
"2020-07-01 07:30:00","1.30","10.53",342
"2020-07-01 08:00:00","1.27","9.88",336
"2020-07-01 09:30:00","1.45","9.88",343
"2020-07-01 10:00:00","1.48","10.53",343
"2020-07-01 10:30:00","1.54","9.88",341
"2020-07-01 11:00:00","1.54","9.88",343
"2020-07-01 11:30:00","1.55","10.53",349
"2020-07-01 12:00:00","1.47","10.53",346
"2020-07-01 12:30:00","1.52","9.88",345
"2020-07-01 13:00:00","1.45","9.88",345
"2020-07-01 13:30:00","1.40","10.53",346
"2020-07-01 14:00:00","1.26","10.53",343
"2020-07-01 14:30:00","1.16","10.53",345
"2020-07-01 15:00:00","1.10","10.53",352
"2020-07-01 15:30:00","1.18","9.88",349
"2020-07-01 16:00:00","1.23","9.88",346
"2020-07-01 16:30:00","1.24","9.88",346
"2020-07-01 17:00:00","1.18","9.88",345
"2020-07-01 17:30:00","1.28","9.88",342
"2020-07-01 18:00:00","1.17","9.88",339
"2020-07-01 18:30:00","1.11","9.09",338
"2020-07-01 19:00:00","1.17","9.88",342
"2020-07-01 19:30:00","1.15","9.88",343
"2020-07-01 20:00:00","1.07","10.53",343
"2020-07-01 20:30:00","0.99","9.88",341
"2020-07-01 21:00:00","1.03","11.11",342
"2020-07-01 21:30:00","1.10","10.53",342
"2020-07-01 22:00:00","1.08","11.11",345
"2020-07-01 22:30:00","1.16","9.88",339
"2020-07-01 23:00:00","1.10","9.88",336
"2020-07-01 23:30:00","1.14","9.88",339
"2020-07-02 00:00:00","1.12","10.53",346
"2020-07-02 00:30:00","1.13","10.53",343
"2020-07-02 01:00:00","1.08","10.53",342
"2020-07-02 01:30:00","1.13","9.88",339
"2020-07-02 02:00:00","1.27","10.53",342
"2020-07-02 02:30:00","1.22","10.53",348
"2020-07-02 03:00:00","1.16","11.11",348
"2020-07-02 03:30:00","1.12","10.53",346
"2020-07-02 04:00:00","1.10","10.53",346
"2020-07-02 04:30:00","1.20","10.53",343
"2020-07-02 05:00:00","1.12","10.53",343
"2020-07-02 05:30:00","1.11","10.53",341
"2020-07-02 06:00:00","1.15","10.53",345
"2020-07-02 07:30:00","1.25","9.88",341
"2020-07-02 08:00:00","1.29","10.53",345
"2020-07-02 08:30:00","1.21","11.11",348
"2020-07-02 09:00:00","1.28","10.53",342
"2020-07-02 09:30:00","1.22","9.88",343
"2020-07-02 10:00:00","1.22","10.53",345
"2020-07-02 10:30:00","1.22","10.53",345
"2020-07-02 11:00:00","1.01","9.88",342
"2020-07-02 11:30:00","0.87","10.53",346
"2020-07-02 12:00:00","0.97","9.88",343
"2020-07-02 12:30:00","0.95","11.11",349
"2020-07-02 13:00:00","0.92","11.11",346
"2020-07-02 13:30:00","1.08","11.11",353
"2020-07-02 14:00:00","1.13","9.88",346
"2020-07-02 14:30:00","1.07","10.53",352
"2020-07-02 15:00:00","1.06","9.88",343
"2020-07-02 15:30:00","0.99","9.88",342
"2020-07-02 16:00:00","0.96","9.88",342
"2020-07-02 16:30:00","1.01","9.88",343
"2020-07-02 17:00:00","1.02","10.53",345
"2020-07-02 17:30:00","0.92","10.53",349
"2020-07-02 18:00:00","0.90","9.88",348
"2020-07-02 18:30:00","0.92","11.11",353
"2020-07-02 19:00:00","0.94","11.11",352
"2020-07-02 20:30:00","0.93","9.88",341
"2020-07-02 21:00:00","1.03","10.53",339
"2020-07-02 21:30:00","0.93","9.88",338
"2020-07-02 22:00:00","0.99","10.53",341
"2020-07-02 22:30:00","0.95","9.88",336
"2020-07-02 23:00:00","0.98","10.53",342
"2020-07-02 23:30:00","0.85","10.53",341
"2020-07-03 00:00:00","0.76","11.11",343
"2020-07-03 00:30:00","0.82","11.11",342
"2020-07-03 01:00:00","0.79","10.53",339
"2020-07-03 01:30:00","0.77","10.53",341
"2020-07-03 02:00:00","0.75","10.53",342
"2020-07-03 02:30:00","0.79","9.88",338
"2020-07-03 03:00:00","0.70","10.53",338
"2020-07-03 03:30:00","0.70","11.11",343
"2020-07-03 04:00:00","0.70","10.53",341
"2020-07-03 04:30:00","0.67","9.88",339
"2020-07-03 05:00:00","0.67","10.53",341
"2020-07-03 06:30:00","0.66","10.53",339
"2020-07-03 07:00:00","0.66","10.53",339
"2020-07-03 07:30:00","0.61","10.53",341
"2020-07-03 08:00:00","0.67","10.53",342
